t_s,U1_mV,U2_mV,U3_mV
0.540000,-0.000,-281691.320,281691.320
0.540128,13097.267,-288011.502,274914.235
0.540256,26173.290,-293864.527,267691.237
0.540385,39206.860,-299240.903,260034.044
0.540513,52176.836,-304131.910,251955.074
0.540641,65062.181,-308529.613,243467.432
0.540769,77841.995,-312426.880,234584.885
0.540897,90495.549,-315817.390,225321.840
0.541026,103002.319,-318695.643,215693.323
0.541154,115342.019,-321056.970,205714.950
0.541282,127494.634,-322897.541,195402.907
0.541410,139440.452,-324214.372,184773.920
0.541538,151160.097,-325005.325,173845.229
0.541667,162634.560,-325269.119,162634.560
0.541795,173845.229,-325005.325,151160.097
0.541923,184773.920,-324214.372,139440.452
0.542051,195402.907,-322897.541,127494.634
0.542179,205714.950,-321056.970,115342.019
0.542308,215693.323,-318695.643,103002.319
0.542436,225321.840,-315817.390,90495.549
0.542564,234584.885,-312426.880,77841.995
0.542692,243467.432,-308529.613,65062.181
0.542821,251955.074,-304131.910,52176.836
0.542949,260034.044,-299240.903,39206.860
0.543077,267691.237,-293864.527,26173.290
0.543205,274914.235,-288011.502,13097.267
0.543333,281691.320,-281691.320,0.000
0.543462,288011.502,-274914.235,-13097.267
0.543590,293864.527,-267691.237,-26173.290
0.543718,299240.903,-260034.044,-39206.860
0.543846,304131.910,-251955.074,-52176.836
0.543974,308529.613,-243467.432,-65062.181
0.544103,312426.880,-234584.885,-77841.995
0.544231,315817.390,-225321.840,-90495.549
0.544359,318695.643,-215693.323,-103002.319
0.544487,321056.970,-205714.950,-115342.019
0.544615,322897.541,-195402.907,-127494.634
0.544744,324214.372,-184773.920,-139440.452
0.544872,325005.325,-173845.229,-151160.097
0.545000,325269.119,-162634.560,-162634.560
0.545128,325005.325,-151160.097,-173845.229
0.545256,324214.372,-139440.452,-184773.920
0.545385,322897.541,-127494.634,-195402.907
0.545513,321056.970,-115342.019,-205714.950
0.545641,318695.643,-103002.319,-215693.323
0.545769,315817.390,-90495.549,-225321.840
0.545897,312426.880,-77841.995,-234584.885
0.546026,308529.613,-65062.181,-243467.432
0.546154,304131.910,-52176.836,-251955.074
0.546282,299240.903,-39206.860,-260034.044
0.546410,293864.527,-26173.290,-267691.237
0.546538,288011.502,-13097.267,-274914.235
0.546667,281691.320,-0.000,-281691.320
0.546795,274914.235,13097.267,-288011.502
0.546923,267691.237,26173.290,-293864.527
0.547051,260034.044,39206.860,-299240.903
0.547179,251955.074,52176.836,-304131.910
0.547308,243467.432,65062.181,-308529.613
0.547436,234584.885,77841.995,-312426.880
0.547564,225321.840,90495.549,-315817.390
0.547692,215693.323,103002.319,-318695.643
0.547821,205714.950,115342.019,-321056.970
0.547949,195402.907,127494.634,-322897.541
0.548077,184773.920,139440.452,-324214.372
0.548205,173845.229,151160.097,-325005.325
0.548333,162634.560,162634.560,-325269.119
0.548462,151160.097,173845.229,-325005.325
0.548590,139440.452,184773.920,-324214.372
0.548718,127494.634,195402.907,-322897.541
0.548846,115342.019,205714.950,-321056.970
0.548974,103002.319,215693.323,-318695.643
0.549103,90495.549,225321.840,-315817.390
0.549231,77841.995,234584.885,-312426.880
0.549359,65062.181,243467.432,-308529.613
0.549487,52176.836,251955.074,-304131.910
0.549615,39206.860,260034.044,-299240.903
0.549744,26173.290,267691.237,-293864.527
0.549872,13097.267,274914.235,-288011.502
0.550000,0.000,281691.320,-281691.320
0.550128,-13097.267,288011.502,-274914.235
0.550256,-26173.290,293864.527,-267691.237
0.550385,-39206.860,299240.903,-260034.044
0.550513,-52176.836,304131.910,-251955.074
0.550641,-65062.181,308529.613,-243467.432
0.550769,-77841.995,312426.880,-234584.885
0.550897,-90495.549,315817.390,-225321.840
0.551026,-103002.319,318695.643,-215693.323
0.551154,-115342.019,321056.970,-205714.950
0.551282,-127494.634,322897.541,-195402.907
0.551410,-139440.452,324214.372,-184773.920
0.551538,-151160.097,325005.325,-173845.229
0.551667,-162634.560,325269.119,-162634.560
0.551795,-173845.229,325005.325,-151160.097
0.551923,-184773.920,324214.372,-139440.452
0.552051,-195402.907,322897.541,-127494.634
0.552179,-205714.950,321056.970,-115342.019
0.552308,-215693.323,318695.643,-103002.319
0.552436,-225321.840,315817.390,-90495.549
0.552564,-234584.885,312426.880,-77841.995
0.552692,-243467.432,308529.613,-65062.181
0.552821,-251955.074,304131.910,-52176.836
0.552949,-260034.044,299240.903,-39206.860
0.553077,-267691.237,293864.527,-26173.290
0.553205,-274914.235,288011.502,-13097.267
0.553333,-281691.320,281691.320,-0.000
0.553462,-288011.502,274914.235,13097.267
0.553590,-293864.527,267691.237,26173.290
0.553718,-299240.903,260034.044,39206.860
0.553846,-304131.910,251955.074,52176.836
0.553974,-308529.613,243467.432,65062.181
0.554103,-312426.880,234584.885,77841.995
0.554231,-315817.390,225321.840,90495.549
0.554359,-318695.643,215693.323,103002.319
0.554487,-321056.970,205714.950,115342.019
0.554615,-322897.541,195402.907,127494.634
0.554744,-324214.372,184773.920,139440.452
0.554872,-325005.325,173845.229,151160.097
0.555000,-325269.119,162634.560,162634.560
0.555128,-325005.325,151160.097,173845.229
0.555256,-324214.372,139440.452,184773.920
0.555385,-322897.541,127494.634,195402.907
0.555513,-321056.970,115342.019,205714.950
0.555641,-318695.643,103002.319,215693.323
0.555769,-315817.390,90495.549,225321.840
0.555897,-312426.880,77841.995,234584.885
0.556026,-308529.613,65062.181,243467.432
0.556154,-304131.910,52176.836,251955.074
0.556282,-299240.903,39206.860,260034.044
0.556410,-293864.527,26173.290,267691.237
0.556538,-288011.502,13097.267,274914.235
0.556667,-281691.320,0.000,281691.320
0.556795,-274914.235,-13097.267,288011.502
0.556923,-267691.237,-26173.290,293864.527
0.557051,-260034.044,-39206.860,299240.903
0.557179,-251955.074,-52176.836,304131.910
0.557308,-243467.432,-65062.181,308529.613
0.557436,-234584.885,-77841.995,312426.880
0.557564,-225321.840,-90495.549,315817.390
0.557692,-215693.323,-103002.319,318695.643
0.557821,-205714.950,-115342.019,321056.970
0.557949,-195402.907,-127494.634,322897.541
0.558077,-184773.920,-139440.452,324214.372
0.558205,-173845.229,-151160.097,325005.325
0.558333,-162634.560,-162634.560,325269.119
0.558462,-151160.097,-173845.229,325005.325
0.558590,-139440.452,-184773.920,324214.372
0.558718,-127494.634,-195402.907,322897.541
0.558846,-115342.019,-205714.950,321056.970
0.558974,-103002.319,-215693.323,318695.643
0.559103,-90495.549,-225321.840,315817.390
0.559231,-77841.995,-234584.885,312426.880
0.559359,-65062.181,-243467.432,308529.613
0.559487,-52176.836,-251955.074,304131.910
0.559615,-39206.860,-260034.044,299240.903
0.559744,-26173.290,-267691.237,293864.527
0.559872,-13097.267,-274914.235,288011.502
0.560000,-0.000,-281691.320,281691.320
0.560128,13097.267,-288011.502,274914.235
0.560256,26173.290,-293864.527,267691.237
0.560385,39206.860,-299240.903,260034.044
0.560513,52176.836,-304131.910,251955.074
0.560641,65062.181,-308529.613,243467.432
0.560769,77841.995,-312426.880,234584.885
0.560897,90495.549,-315817.390,225321.840
0.561026,103002.319,-318695.643,215693.323
0.561154,115342.019,-321056.970,205714.950
0.561282,127494.634,-322897.541,195402.907
0.561410,139440.452,-324214.372,184773.920
0.561538,151160.097,-325005.325,173845.229
0.561667,162634.560,-325269.119,162634.560
0.561795,173845.229,-325005.325,151160.097
0.561923,184773.920,-324214.372,139440.452
0.562051,195402.907,-322897.541,127494.634
0.562179,205714.950,-321056.970,115342.019
0.562308,215693.323,-318695.643,103002.319
0.562436,225321.840,-315817.390,90495.549
0.562564,234584.885,-312426.880,77841.995
0.562692,243467.432,-308529.613,65062.181
0.562821,251955.074,-304131.910,52176.836
0.562949,260034.044,-299240.903,39206.860
0.563077,267691.237,-293864.527,26173.290
0.563205,274914.235,-288011.502,13097.267
0.563333,281691.320,-281691.320,0.000
0.563462,288011.502,-274914.235,-13097.267
0.563590,293864.527,-267691.237,-26173.290
0.563718,299240.903,-260034.044,-39206.860
0.563846,304131.910,-251955.074,-52176.836
0.563974,308529.613,-243467.432,-65062.181
0.564103,312426.880,-234584.885,-77841.995
0.564231,315817.390,-225321.840,-90495.549
0.564359,318695.643,-215693.323,-103002.319
0.564487,321056.970,-205714.950,-115342.019
0.564615,322897.541,-195402.907,-127494.634
0.564744,324214.372,-184773.920,-139440.452
0.564872,325005.325,-173845.229,-151160.097
0.565000,325269.119,-162634.560,-162634.560
0.565128,325005.325,-151160.097,-173845.229
0.565256,324214.372,-139440.452,-184773.920
0.565385,322897.541,-127494.634,-195402.907
0.565513,321056.970,-115342.019,-205714.950
0.565641,318695.643,-103002.319,-215693.323
0.565769,315817.390,-90495.549,-225321.840
0.565897,312426.880,-77841.995,-234584.885
0.566026,308529.613,-65062.181,-243467.432
0.566154,304131.910,-52176.836,-251955.074
0.566282,299240.903,-39206.860,-260034.044
0.566410,293864.527,-26173.290,-267691.237
0.566538,288011.502,-13097.267,-274914.235
0.566667,281691.320,-0.000,-281691.320
0.566795,274914.235,13097.267,-288011.502
0.566923,267691.237,26173.290,-293864.527
0.567051,260034.044,39206.860,-299240.903
0.567179,251955.074,52176.836,-304131.910
0.567308,243467.432,65062.181,-308529.613
0.567436,234584.885,77841.995,-312426.880
0.567564,225321.840,90495.549,-315817.390
0.567692,215693.323,103002.319,-318695.643
0.567821,205714.950,115342.019,-321056.970
0.567949,195402.907,127494.634,-322897.541
0.568077,184773.920,139440.452,-324214.372
0.568205,173845.229,151160.097,-325005.325
0.568333,162634.560,162634.560,-325269.119
0.568462,151160.097,173845.229,-325005.325
0.568590,139440.452,184773.920,-324214.372
0.568718,127494.634,195402.907,-322897.541
0.568846,115342.019,205714.950,-321056.970
0.568974,103002.319,215693.323,-318695.643
0.569103,90495.549,225321.840,-315817.390
0.569231,77841.995,234584.885,-312426.880
0.569359,65062.181,243467.432,-308529.613
0.569487,52176.836,251955.074,-304131.910
0.569615,39206.860,260034.044,-299240.903
0.569744,26173.290,267691.237,-293864.527
0.569872,13097.267,274914.235,-288011.502
0.570000,0.000,281691.320,-281691.320
0.570128,-13097.267,288011.502,-274914.235
0.570256,-26173.290,293864.527,-267691.237
0.570385,-39206.860,299240.903,-260034.044
0.570513,-52176.836,304131.910,-251955.074
0.570641,-65062.181,308529.613,-243467.432
0.570769,-77841.995,312426.880,-234584.885
0.570897,-90495.549,315817.390,-225321.840
0.571026,-103002.319,318695.643,-215693.323
0.571154,-115342.019,321056.970,-205714.950
0.571282,-127494.634,322897.541,-195402.907
0.571410,-139440.452,324214.372,-184773.920
0.571538,-151160.097,325005.325,-173845.229
0.571667,-162634.560,325269.119,-162634.560
0.571795,-173845.229,325005.325,-151160.097
0.571923,-184773.920,324214.372,-139440.452
0.572051,-195402.907,322897.541,-127494.634
0.572179,-205714.950,321056.970,-115342.019
0.572308,-215693.323,318695.643,-103002.319
0.572436,-225321.840,315817.390,-90495.549
0.572564,-234584.885,312426.880,-77841.995
0.572692,-243467.432,308529.613,-65062.181
0.572821,-251955.074,304131.910,-52176.836
0.572949,-260034.044,299240.903,-39206.860
0.573077,-267691.237,293864.527,-26173.290
0.573205,-274914.235,288011.502,-13097.267
0.573333,-281691.320,281691.320,-0.000
0.573462,-288011.502,274914.235,13097.267
0.573590,-293864.527,267691.237,26173.290
0.573718,-299240.903,260034.044,39206.860
0.573846,-304131.910,251955.074,52176.836
0.573974,-308529.613,243467.432,65062.181
0.574103,-312426.880,234584.885,77841.995
0.574231,-315817.390,225321.840,90495.549
0.574359,-318695.643,215693.323,103002.319
0.574487,-321056.970,205714.950,115342.019
0.574615,-322897.541,195402.907,127494.634
0.574744,-324214.372,184773.920,139440.452
0.574872,-325005.325,173845.229,151160.097
0.575000,-325269.119,162634.560,162634.560
0.575128,-325005.325,151160.097,173845.229
0.575256,-324214.372,139440.452,184773.920
0.575385,-322897.541,127494.634,195402.907
0.575513,-321056.970,115342.019,205714.950
0.575641,-318695.643,103002.319,215693.323
0.575769,-315817.390,90495.549,225321.840
0.575897,-312426.880,77841.995,234584.885
0.576026,-308529.613,65062.181,243467.432
0.576154,-304131.910,52176.836,251955.074
0.576282,-299240.903,39206.860,260034.044
0.576410,-293864.527,26173.290,267691.237
0.576538,-288011.502,13097.267,274914.235
0.576667,-281691.320,0.000,281691.320
0.576795,-274914.235,-13097.267,288011.502
0.576923,-267691.237,-26173.290,293864.527
0.577051,-260034.044,-39206.860,299240.903
0.577179,-251955.074,-52176.836,304131.910
0.577308,-243467.432,-65062.181,308529.613
0.577436,-234584.885,-77841.995,312426.880
0.577564,-225321.840,-90495.549,315817.390
0.577692,-215693.323,-103002.319,318695.643
0.577821,-205714.950,-115342.019,321056.970
0.577949,-195402.907,-127494.634,322897.541
0.578077,-184773.920,-139440.452,324214.372
0.578205,-173845.229,-151160.097,325005.325
0.578333,-162634.560,-162634.560,325269.119
0.578462,-151160.097,-173845.229,325005.325
0.578590,-139440.452,-184773.920,324214.372
0.578718,-127494.634,-195402.907,322897.541
0.578846,-115342.019,-205714.950,321056.970
0.578974,-103002.319,-215693.323,318695.643
0.579103,-90495.549,-225321.840,315817.390
0.579231,-77841.995,-234584.885,312426.880
0.579359,-65062.181,-243467.432,308529.613
0.579487,-52176.836,-251955.074,304131.910
0.579615,-39206.860,-260034.044,299240.903
0.579744,-26173.290,-267691.237,293864.527
0.579872,-13097.267,-274914.235,288011.502
0.580000,-0.000,-281691.320,281691.320
0.580128,13097.267,-288011.502,274914.235
0.580256,26173.290,-293864.527,267691.237
0.580385,39206.860,-299240.903,260034.044
0.580513,52176.836,-304131.910,251955.074
0.580641,65062.181,-308529.613,243467.432
0.580769,77841.995,-312426.880,234584.885
0.580897,90495.549,-315817.390,225321.840
0.581026,103002.319,-318695.643,215693.323
0.581154,115342.019,-321056.970,205714.950
0.581282,127494.634,-322897.541,195402.907
0.581410,139440.452,-324214.372,184773.920
0.581538,151160.097,-325005.325,173845.229
0.581667,162634.560,-325269.119,162634.560
0.581795,173845.229,-325005.325,151160.097
0.581923,184773.920,-324214.372,139440.452
0.582051,195402.907,-322897.541,127494.634
0.582179,205714.950,-321056.970,115342.019
0.582308,215693.323,-318695.643,103002.319
0.582436,225321.840,-315817.390,90495.549
0.582564,234584.885,-312426.880,77841.995
0.582692,243467.432,-308529.613,65062.181
0.582821,251955.074,-304131.910,52176.836
0.582949,260034.044,-299240.903,39206.860
0.583077,267691.237,-293864.527,26173.290
0.583205,274914.235,-288011.502,13097.267
0.583333,281691.320,-281691.320,0.000
0.583462,288011.502,-274914.235,-13097.267
0.583590,293864.527,-267691.237,-26173.290
0.583718,299240.903,-260034.044,-39206.860
0.583846,304131.910,-251955.074,-52176.836
0.583974,308529.613,-243467.432,-65062.181
0.584103,312426.880,-234584.885,-77841.995
0.584231,315817.390,-225321.840,-90495.549
0.584359,318695.643,-215693.323,-103002.319
0.584487,321056.970,-205714.950,-115342.019
0.584615,322897.541,-195402.907,-127494.634
0.584744,324214.372,-184773.920,-139440.452
0.584872,325005.325,-173845.229,-151160.097
0.585000,325269.119,-162634.560,-162634.560
0.585128,325005.325,-151160.097,-173845.229
0.585256,324214.372,-139440.452,-184773.920
0.585385,322897.541,-127494.634,-195402.907
0.585513,321056.970,-115342.019,-205714.950
0.585641,318695.643,-103002.319,-215693.323
0.585769,315817.390,-90495.549,-225321.840
0.585897,312426.880,-77841.995,-234584.885
0.586026,308529.613,-65062.181,-243467.432
0.586154,304131.910,-52176.836,-251955.074
0.586282,299240.903,-39206.860,-260034.044
0.586410,293864.527,-26173.290,-267691.237
0.586538,288011.502,-13097.267,-274914.235
0.586667,281691.320,-0.000,-281691.320
0.586795,274914.235,13097.267,-288011.502
0.586923,267691.237,26173.290,-293864.527
0.587051,260034.044,39206.860,-299240.903
0.587179,251955.074,52176.836,-304131.910
0.587308,243467.432,65062.181,-308529.613
0.587436,234584.885,77841.995,-312426.880
0.587564,225321.840,90495.549,-315817.390
0.587692,215693.323,103002.319,-318695.643
0.587821,205714.950,115342.019,-321056.970
0.587949,195402.907,127494.634,-322897.541
0.588077,184773.920,139440.452,-324214.372
0.588205,173845.229,151160.097,-325005.325
0.588333,162634.560,162634.560,-325269.119
0.588462,151160.097,173845.229,-325005.325
0.588590,139440.452,184773.920,-324214.372
0.588718,127494.634,195402.907,-322897.541
0.588846,115342.019,205714.950,-321056.970
0.588974,103002.319,215693.323,-318695.643
0.589103,90495.549,225321.840,-315817.390
0.589231,77841.995,234584.885,-312426.880
0.589359,65062.181,243467.432,-308529.613
0.589487,52176.836,251955.074,-304131.910
0.589615,39206.860,260034.044,-299240.903
0.589744,26173.290,267691.237,-293864.527
0.589872,13097.267,274914.235,-288011.502
0.590000,0.000,281691.320,-281691.320
0.590128,-13097.267,288011.502,-274914.235
0.590256,-26173.290,293864.527,-267691.237
0.590385,-39206.860,299240.903,-260034.044
0.590513,-52176.836,304131.910,-251955.074
0.590641,-65062.181,308529.613,-243467.432
0.590769,-77841.995,312426.880,-234584.885
0.590897,-90495.549,315817.390,-225321.840
0.591026,-103002.319,318695.643,-215693.323
0.591154,-115342.019,321056.970,-205714.950
0.591282,-127494.634,322897.541,-195402.907
0.591410,-139440.452,324214.372,-184773.920
0.591538,-151160.097,325005.325,-173845.229
0.591667,-162634.560,325269.119,-162634.560
0.591795,-173845.229,325005.325,-151160.097
0.591923,-184773.920,324214.372,-139440.452
0.592051,-195402.907,322897.541,-127494.634
0.592179,-205714.950,321056.970,-115342.019
